model,seed,requested_missing_rate,actual_missing_rate,training_time_seconds,accuracy,precision,recall,f1,roc_auc
Logistic Regression,42,0.0,0.0,2.873302958905697,0.7548379962401858,0.2662363856393707,0.6238185255198487,0.37319762510602206,0.7722383533397332
Random Forest,42,0.0,0.0,1.7069073589518666,0.8606657082826495,0.4231354642313546,0.5255198487712666,0.4688026981450253,0.802462083324949
XGBoost,42,0.0,0.0,2.4642315171658993,0.8963839433816212,0.6694677871148459,0.22589792060491493,0.33780918727915193,0.806851101959842
Logistic Regression,42,0.05,0.05,3.0031812582165003,0.7497511887647904,0.26601941747572816,0.6474480151228733,0.3770988164051748,0.7732369175190249
Random Forest,42,0.05,0.05,1.7119725458323956,0.8643149397323897,0.43534812547819435,0.5378071833648393,0.481183932346723,0.8020263655980673
XGBoost,42,0.05,0.05,0.537244095467031,0.8951675328983745,0.6527777777777778,0.222117202268431,0.3314527503526093,0.8043798450071199
Logistic Regression,42,0.1,0.1,1.9714666362851858,0.7392458255003871,0.2578241430700447,0.6540642722117203,0.36985569214323893,0.7724909536193217
Random Forest,42,0.1,0.1,1.4675887944176793,0.8623244498507132,0.42835249042145596,0.5283553875236295,0.4731273804485823,0.8013982976114241
XGBoost,42,0.1,0.1,0.7195461401715875,0.8956098639831914,0.6647398843930635,0.21739130434782608,0.32763532763532766,0.8017005538503786
Logistic Regression,42,0.2,0.2,2.6726436894387007,0.7216631648789119,0.24749048113534095,0.6758034026465028,0.362300481378262,0.7724252586075262
Random Forest,42,0.2,0.2,1.5525717297568917,0.8635408603339599,0.4323076923076923,0.5311909262759924,0.4766751484308736,0.791153781961215
XGBoost,42,0.2,0.2,0.556522092781961,0.8945040362711489,0.6368421052631579,0.22873345935727787,0.33657858136300417,0.7991882227191106
Logistic Regression,123,0.0,0.0,2.5898822527378798,0.7568284861218623,0.27005239822652155,0.6332703213610587,0.3786380333427522,0.7623411334816107
Random Forest,123,0.0,0.0,1.595121618360281,0.8566847285192967,0.4114583333333333,0.5226843100189036,0.4604496253122398,0.7911784027944647
XGBoost,123,0.0,0.0,0.5344884600490332,0.895388698440783,0.6717791411042945,0.20699432892249528,0.31647398843930635,0.7971187114781615
Logistic Regression,123,0.05,0.05,2.5953097147867084,0.7489771093663607,0.26493405740884407,0.6455576559546313,0.3756875687568757,0.7626052155920897
Random Forest,123,0.05,0.05,1.681338956579566,0.8570164768329094,0.4132841328413284,0.5293005671077504,0.46415250725238294,0.7875592586761803
XGBoost,123,0.05,0.05,0.6446041092276573,0.8941722879575362,0.6516516516516516,0.2051039697542533,0.3120057512580877,0.7930573985012067
Logistic Regression,123,0.1,0.1,2.4553048638626933,0.7374765011611191,0.2570162481536189,0.6578449905482041,0.36962294211364843,0.7626858251471036
Random Forest,123,0.1,0.1,1.495419573970139,0.8549154041800288,0.40536512667660207,0.5141776937618148,0.4533333333333333,0.7829575302463385
XGBoost,123,0.1,0.1,0.7102139508351684,0.8957204467543957,0.6706231454005934,0.21361058601134217,0.3240143369175627,0.7936617926097254
Logistic Regression,123,0.2,0.2,2.4876331547275186,0.7118212982417339,0.24148296593186372,0.6833648393194707,0.3568608094768016,0.7624915809770919
Random Forest,123,0.2,0.2,1.6415831996127963,0.8561318146632755,0.4088522130532633,0.5151228733459358,0.45587620242576327,0.7821835128010577
XGBoost,123,0.2,0.2,0.5334454951807857,0.8933982085591065,0.6342857142857142,0.20982986767485823,0.3153409090909091,0.79082767429005
Logistic Regression,456,0.0,0.0,3.73299331497401,0.7545062479265731,0.26999208234362626,0.6446124763705104,0.38058035714285715,0.7783169766563725
Random Forest,456,0.0,0.0,1.796524510718882,0.862656198164326,0.43362193362193363,0.5680529300567108,0.4918166939443535,0.8024833898152608
XGBoost,456,0.0,0.0,0.8412034399807453,0.8954992812119872,0.6582633053221288,0.222117202268431,0.3321554770318021,0.8099598964504571
Logistic Regression,456,0.05,0.05,2.724184944294393,0.7457702090014375,0.2652289065455921,0.6625708884688091,0.3788165360713321,0.7789371138938439
Random Forest,456,0.05,0.05,1.3316312842071056,0.862213867079509,0.43217893217893216,0.5661625708884688,0.49018003273322425,0.799056359217957
XGBoost,456,0.05,0.05,0.4229190284386277,0.8942828707287405,0.6416666666666667,0.21833648393194707,0.32581100141043723,0.8083562279463029
Logistic Regression,456,0.1,0.1,1.5946302516385913,0.7359283423642596,0.25800582241630277,0.6701323251417769,0.37256962690488704,0.779297430318899
Random Forest,456,0.1,0.1,1.4151767380535603,0.861771535994692,0.4299270072992701,0.556710775047259,0.48517298187808894,0.8019528582064906
XGBoost,456,0.1,0.1,0.491270755417645,0.8948357845847617,0.6404199475065617,0.23062381852551986,0.3391243919388464,0.8105010813043834
Logistic Regression,456,0.2,0.2,2.1069247843697667,0.7174610195731504,0.24687182955698342,0.6899810964083176,0.36363636363636365,0.7784584280781665
Random Forest,456,0.2,0.2,1.6711361911147833,0.8600022116554241,0.4240875912408759,0.5491493383742911,0.4785831960461285,0.7979155150311372
XGBoost,456,0.2,0.2,0.5096138222143054,0.8951675328983745,0.6328502415458938,0.24763705103969755,0.35597826086956524,0.8070960674137353
Logistic Regression,789,0.0,0.0,3.0344531470909715,0.7584872276899259,0.2707654723127036,0.6285444234404537,0.3784860557768924,0.7657409391190714
Random Forest,789,0.0,0.0,1.7319113351404667,0.8573482251465222,0.4153284671532847,0.5378071833648393,0.4686985172981878,0.791211191115667
XGBoost,789,0.0,0.0,0.5421048980206251,0.8946146190423532,0.6462395543175488,0.21928166351606806,0.3274523641496119,0.8045549133358505
Logistic Regression,789,0.05,0.05,3.1787077179178596,0.7465442883998673,0.26085271317829456,0.6361058601134215,0.36998350742166025,0.7656344066675111
Random Forest,789,0.05,0.05,1.635795927606523,0.8566847285192967,0.4119822485207101,0.5264650283553876,0.46224066390041496,0.7904323205253708
XGBoost,789,0.05,0.05,0.7441791873425245,0.8937299568727193,0.6300268096514745,0.222117202268431,0.3284416491963662,0.8014763030398442
Logistic Regression,789,0.1,0.1,2.76211264077574,0.7384717461019573,0.2558834516249533,0.6474480151228733,0.3668005354752343,0.7653516221933138
Random Forest,789,0.1,0.1,1.6427487060427666,0.8570164768329094,0.4132841328413284,0.5293005671077504,0.46415250725238294,0.7893961148798609
XGBoost,789,0.1,0.1,0.5895837536081672,0.8932876257879022,0.6165413533834586,0.23251417769376181,0.33768016472203155,0.8005394093130669
Logistic Regression,789,0.2,0.2,2.564407294616103,0.7218843304213204,0.2448336252189142,0.6606805293005671,0.3572706363404038,0.7630507579783927
Random Forest,789,0.2,0.2,1.6553153907880187,0.857237642375318,0.4120754716981132,0.5160680529300568,0.4582459085186739,0.7858369840426225
XGBoost,789,0.2,0.2,0.650213435292244,0.893177043016698,0.6138613861386139,0.23440453686200377,0.3392612859097127,0.7977538224435468
Logistic Regression,2026,0.0,0.0,2.4156121630221605,0.7526263408161008,0.2696365767878077,0.6521739130434783,0.3815316560685651,0.7751137825767358
Random Forest,2026,0.0,0.0,1.5728645464405417,0.8602233771978326,0.4238165680473373,0.5415879017013232,0.4755186721991701,0.796984954066758
XGBoost,2026,0.0,0.0,0.4910859828814864,0.8958310295255999,0.6559139784946236,0.23062381852551986,0.3412587412587413,0.8045326598904136
Logistic Regression,2026,0.05,0.05,2.380475163459778,0.7453278779166206,0.264472190692395,0.6606805293005671,0.3777357470953796,0.7754639192341973
Random Forest,2026,0.05,0.05,1.6225846353918314,0.8593387150281986,0.42074074074074075,0.5368620037807184,0.4717607973421927,0.7912703166262829
