model,requested_missing_rate,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,training_time_seconds,training_time_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Logistic Regression,0.0,0.7554572597589295,0.002256267951344854,0.269336583062006,0.0017808014658819307,0.63648393194707,0.011683581958686165,0.3784867454874178,0.0032269324873144905,0.7707502370347047,0.006601451668213109,0.13702648000326006,0.02510951952073745
Logistic Regression,0.05,0.7472741346898153,0.001975999946206062,0.26430145706017083,0.0020084022302892276,0.6504725897920605,0.011071115663021804,0.3758644351500845,0.0034769598069559608,0.7711755145813334,0.006838057511162178,0.1342260600067675,0.0223137158796831
Logistic Regression,0.1,0.7374322680526374,0.0014641259133176083,0.25711805160402673,0.0008496452617398338,0.6586011342155009,0.008698733735231398,0.3698399255104669,0.002061402204986233,0.7711205911840845,0.00697940141771314,0.1442429799993988,0.0295836686417568
Logistic Regression,0.2,0.7177927678867633,0.0041904888469526825,0.2454471676712741,0.0024252684415999822,0.680718336483932,0.013120645136207186,0.3607769791081258,0.0034411948152407897,0.7704806152367446,0.007359778935615684,0.15500075999880208,0.043832673105847236
Random Forest,0.0,0.8595156474621254,0.002469736905919485,0.4214721532774487,0.008571778045237989,0.5391304347826087,0.018027922385615895,0.47305724137979527,0.011768892246760872,0.7968640042234199,0.005639392089611471,0.731913599994732,0.06555693713044858
Random Forest,0.05,0.8599137454384607,0.003309548548753263,0.4227068359519811,0.010691029507024932,0.5393194706994329,0.015767793929029668,0.47390358671498756,0.011764618492145983,0.7940689241287717,0.006156870502374144,0.7218470600026194,0.04960513077176817
Random Forest,0.1,0.859139666040031,0.0031505417718908006,0.41950915250115495,0.010329181940128922,0.5313799621928166,0.015493451090846407,0.4688313084500938,0.011702536380343971,0.7933387862165947,0.00818526078759279,0.7694723599997815,0.08431836283908499
Random Forest,0.2,0.859294481919717,0.002865139636475771,0.4194525090678439,0.009404306381131565,0.5274102079395085,0.013875159032044592,0.46724300964012333,0.010342678679399737,0.7888954360314058,0.005982060837347912,0.7671589400037192,0.09631549377997083
XGBoost,0.0,0.8952338825610969,0.0013579636344583624,0.6588164730579591,0.016911320848364206,0.2168241965973535,0.008780509763700269,0.32622227465922266,0.011316868403718858,0.8039381969737681,0.004885619531479639,0.43083556000492534,0.03375398969969962
XGBoost,0.05,0.8949906004644477,0.0016726900719839723,0.6513884952584708,0.01966131845175387,0.22041587901701326,0.011231342742920949,0.32929835113343087,0.014171278131446176,0.8021570572422536,0.005026793970646868,0.41478043999522923,0.03382313597876679
XGBoost,0.1,0.8954550481035055,0.0014889714523023572,0.6514834891234518,0.019274763348290192,0.2294896030245747,0.01502508554267244,0.33913129293053446,0.01658211529203757,0.8020804367357037,0.005575550057555711,0.46181289999512953,0.07181960148059338
XGBoost,0.2,0.8951232997898927,0.001838137146149988,0.6410585948037404,0.023221786120310665,0.23591682419659735,0.010409856258796493,0.34478669557788194,0.01270504569706428,0.7990597445825289,0.005471799879468073,0.4366724999854341,0.048853291830836185
