model,requested_missing_rate,f1_mean,f1_std,roc_auc_mean,roc_auc_std,accuracy_mean,precision_mean,recall_mean,training_time_mean,baseline_f1,f1_change,f1_change_percent
Logistic Regression,0.0,0.3785,0.0032,0.7708,0.0066,0.7555,0.2693,0.6365,0.137,0.3785,0.0,0.0
Logistic Regression,0.05,0.3759,0.0035,0.7712,0.0068,0.7473,0.2643,0.6505,0.1342,0.3785,-0.0026,-0.6928
Logistic Regression,0.1,0.3698,0.0021,0.7711,0.007,0.7374,0.2571,0.6586,0.1442,0.3785,-0.0086,-2.2846
Logistic Regression,0.2,0.3608,0.0034,0.7705,0.0074,0.7178,0.2454,0.6807,0.155,0.3785,-0.0177,-4.6791
Random Forest,0.0,0.4731,0.0118,0.7969,0.0056,0.8595,0.4215,0.5391,0.7319,0.4731,0.0,0.0
Random Forest,0.05,0.4739,0.0118,0.7941,0.0062,0.8599,0.4227,0.5393,0.7218,0.4731,0.0008,0.1789
Random Forest,0.1,0.4688,0.0117,0.7933,0.0082,0.8591,0.4195,0.5314,0.7695,0.4731,-0.0042,-0.8933
Random Forest,0.2,0.4672,0.0103,0.7889,0.006,0.8593,0.4195,0.5274,0.7672,0.4731,-0.0058,-1.2291
XGBoost,0.0,0.3262,0.0113,0.8039,0.0049,0.8952,0.6588,0.2168,0.4308,0.3262,0.0,0.0
XGBoost,0.05,0.3293,0.0142,0.8022,0.005,0.895,0.6514,0.2204,0.4148,0.3262,0.0031,0.9429
XGBoost,0.1,0.3391,0.0166,0.8021,0.0056,0.8955,0.6515,0.2295,0.4618,0.3262,0.0129,3.9571
XGBoost,0.2,0.3448,0.0127,0.7991,0.0055,0.8951,0.6411,0.2359,0.4367,0.3262,0.0186,5.6907
